Time[s],sensor1[mm],sensor2[mm]
0.0291135311126709,48,124
0.060889244079589844,53,120
0.09248685836791992,53,122
0.12430357933044434,54,124
0.15586638450622559,54,122
0.18779206275939941,55,120
0.21939563751220703,53,122
0.25107622146606445,54,123
0.28287577629089355,53,122
0.3146545886993408,54,122
0.34634828567504883,56,120
0.37792110443115234,52,123
0.40950965881347656,52,123
0.4432511329650879,52,126
0.47488903999328613,53,123
0.5067927837371826,52,122
0.5384542942047119,54,123
0.5701289176940918,53,121
0.6016025543212891,54,123
0.6335351467132568,52,123
0.665529727935791,53,123
0.6974785327911377,55,121
0.7293622493743896,54,124
0.7609338760375977,54,123
0.7926886081695557,54,121
0.8245162963867188,53,125
0.8560888767242432,56,123
0.8879656791687012,52,125
0.9196462631225586,54,125
0.9512999057769775,56,123
0.9830687046051025,54,123
1.0146262645721436,55,124
1.0463969707489014,55,124
1.0782415866851807,55,126
1.109558343887329,55,122
1.1413359642028809,54,124
1.173168659210205,55,125
1.2050232887268066,56,124
1.2369747161865234,55,125
1.2685675621032715,54,124
1.3003861904144287,53,123
1.3322019577026367,54,123
1.363959550857544,55,123
1.3957133293151855,54,122
1.4272699356079102,56,120
1.4608204364776611,56,125
1.4923932552337646,56,122
1.5240299701690674,54,123
1.5556914806365967,55,124
1.5872151851654053,53,124
1.6187129020690918,54,123
1.650362491607666,52,123
1.6818642616271973,54,123
1.7134418487548828,54,124
1.7450125217437744,54,121
1.7762551307678223,54,121
1.8078899383544922,53,121
1.8395745754241943,55,127
1.8712992668151855,56,123
1.902845859527588,54,123
1.9345064163208008,53,122
1.9662601947784424,54,126
1.997899055480957,57,125
2.0292346477508545,55,121
2.0608081817626953,53,124
2.0923659801483154,55,125
2.1242735385894775,55,121
2.155536413192749,54,123
2.1869959831237793,55,122
2.2182576656341553,55,124
2.24951434135437,54,120
2.280467987060547,52,123
2.3119466304779053,52,120
2.3445754051208496,51,122
2.375972032546997,52,124
2.407094717025757,51,122
2.4384143352508545,52,123
2.469419240951538,52,121
2.5026047229766846,52,121
2.5335402488708496,54,125
2.564666986465454,54,120
2.5958988666534424,54,123
2.6271114349365234,52,123
2.658515214920044,51,123
2.689844846725464,54,120
2.7211854457855225,52,124
2.7525603771209717,53,126
2.78369402885437,51,122
2.8150787353515625,53,122
2.846323251724243,53,124
2.877424955368042,53,122
2.9088034629821777,52,126
2.9402573108673096,53,121
2.9712231159210205,53,124
3.0028486251831055,53,122
3.0340893268585205,51,122
3.065519094467163,52,122
3.0970168113708496,54,123
3.1283974647521973,52,123
3.15975022315979,52,125
3.1910958290100098,51,122
3.222290277481079,51,123
3.2534213066101074,53,122
3.284705638885498,52,123
3.316079616546631,51,124
3.347116231918335,51,121
3.3786709308624268,52,124
3.4101665019989014,54,125
3.441368341445923,52,124
3.472675085067749,54,122
3.5038537979125977,54,125
3.534778356552124,54,121
3.5679101943969727,55,124
3.599398612976074,52,124
3.630601406097412,52,123
3.662013053894043,52,123
3.6933505535125732,51,123
3.7246315479278564,53,124
3.7563979625701904,53,124
3.7876718044281006,53,125
3.8187613487243652,52,125
3.850175142288208,50,122
3.8814077377319336,52,122
3.9129605293273926,51,122
3.9444072246551514,53,121
3.975867986679077,52,123
4.007016658782959,50,123
4.03821325302124,53,122
4.069410085678101,51,125
4.100776672363281,53,123
4.1321234703063965,54,124
4.163251876831055,51,123
4.194940567016602,54,125
4.2262163162231445,54,122
4.257483005523682,51,123
4.288729906082153,53,122
4.320286512374878,53,119
4.351552963256836,51,122
4.382781744003296,50,121
4.414203405380249,50,122
4.4453370571136475,49,123
4.476411819458008,49,123
4.5076634883880615,52,122
4.5388312339782715,50,124
4.569746971130371,50,122
4.603147506713867,50,120
4.6345062255859375,51,121
4.665664911270142,50,126
4.697046518325806,50,122
4.728471279144287,49,124
4.759506940841675,49,122
4.790681600570679,49,122
4.822059154510498,47,122
4.8534300327301025,48,124
4.884628772735596,49,121
4.916241407394409,47,124
4.947663068771362,47,122
4.978676795959473,47,123
5.010038375854492,46,123
5.041228294372559,48,125
5.072358846664429,46,124
5.103691577911377,47,123
5.135111093521118,48,122
5.166033983230591,47,124
5.19715142250061,46,124
5.228720426559448,48,121
5.260114908218384,47,124
